회차,판매점ID,번호,판매점명,등수,자동수동,지역,주소,전화번호,취급복권,위도,경도,복권종류
1,74860274,13,CU진해자은협성점(럭키로또),보너스,,경상남도,경남 창원시 진해구 풍호로35번길10-1 1층,0555518018,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",35.140773,128.705368,pension
1,74860274,12,CU진해자은협성점(럭키로또),보너스,,,경남 창원시 진해구 풍호로35번길10-1 1층,0555518018,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",35.140773,128.705368,pension
1,74860274,11,CU진해자은협성점(럭키로또),보너스,,,경남 창원시 진해구 풍호로35번길10-1 1층,0555518018,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",35.140773,128.705368,pension
1,74860274,10,CU진해자은협성점(럭키로또),보너스,,,경남 창원시 진해구 풍호로35번길10-1 1층,0555518018,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",35.140773,128.705368,pension
1,74860274,9,CU진해자은협성점(럭키로또),보너스,,,경남 창원시 진해구 풍호로35번길10-1 1층,0555518018,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",35.140773,128.705368,pension
1,74360238,8,오창중앙복권,1등,,충청북도,"충청북도 청주시 청원구 오창읍 중심상업로 47 (양청리, 리치아노오피스텔) 1층103호",0432150645,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.715077,127.428954,pension
1,74360238,7,오창중앙복권,2등,,,"충청북도 청주시 청원구 오창읍 중심상업로 47 (양청리, 리치아노오피스텔) 1층103호",0432150645,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.715077,127.428954,pension
1,74360238,6,오창중앙복권,2등,,,"충청북도 청주시 청원구 오창읍 중심상업로 47 (양청리, 리치아노오피스텔) 1층103호",0432150645,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.715077,127.428954,pension
1,74360238,5,오창중앙복권,2등,,,"충청북도 청주시 청원구 오창읍 중심상업로 47 (양청리, 리치아노오피스텔) 1층103호",0432150645,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.715077,127.428954,pension
1,74360238,4,오창중앙복권,2등,,,"충청북도 청주시 청원구 오창읍 중심상업로 47 (양청리, 리치아노오피스텔) 1층103호",0432150645,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",36.715077,127.428954,pension
1,001160,3,인터넷 복권판매사이트,2등,,인터넷,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
1,001160,2,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
1,001160,1,인터넷 복권판매사이트,보너스,,,동행복권(dhlottery.co.kr),0215886450,"로또6/45, 연금복권720+, 스피또2000, 스피또1000, 스피또500",,,pension
2,72660247,5,돈벼락맞는곳,2등,,부산광역시,부산 서구 구덕로 194 토성동3가,0512456275,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.101922,129.020021,pension
2,72660247,4,돈벼락맞는곳,1등,,,부산 서구 구덕로 194 토성동3가,0512456275,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.101922,129.020021,pension
2,72660247,3,돈벼락맞는곳,2등,,,부산 서구 구덕로 194 토성동3가,0512456275,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.101922,129.020021,pension
2,72660247,2,돈벼락맞는곳,2등,,,부산 서구 구덕로 194 토성동3가,0512456275,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.101922,129.020021,pension
2,72660247,1,돈벼락맞는곳,2등,,,부산 서구 구덕로 194 토성동3가,0512456275,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.101922,129.020021,pension
3,74861221,13,ampm할인마트평거점,2등,,경상남도,경남 진주시 평거로36번길 14 1층,0557466847,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.172932,128.065616,pension
3,74861221,12,ampm할인마트평거점,2등,,,경남 진주시 평거로36번길 14 1층,0557466847,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.172932,128.065616,pension
3,74861221,11,ampm할인마트평거점,1등,,,경남 진주시 평거로36번길 14 1층,0557466847,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.172932,128.065616,pension
3,74861221,10,ampm할인마트평거점,2등,,,경남 진주시 평거로36번길 14 1층,0557466847,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.172932,128.065616,pension
3,74861221,9,ampm할인마트평거점,2등,,,경남 진주시 평거로36번길 14 1층,0557466847,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",35.172932,128.065616,pension
3,71162096,8,행복공간,보너스,,서울특별시,"서울특별시 강동구 풍성로 115 (성내동, 정수빌딩) 1층",024832143,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.532128,127.125117,pension
3,71162096,7,행복공간,보너스,,,"서울특별시 강동구 풍성로 115 (성내동, 정수빌딩) 1층",024832143,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.532128,127.125117,pension
3,71162096,6,행복공간,보너스,,,"서울특별시 강동구 풍성로 115 (성내동, 정수빌딩) 1층",024832143,"로또6/45, 연금복권720+, 스피또2000, 스피또1000",37.532128,127.125117,pension
